,Country,Minimum annual leave,Paid vacation days by year (five-day workweek)[1][2],Paid public holidays,Total paid leave (five-day workweek)
21,Bosnia and Herzegovina,"Bosnia and Herzegovina's entities, Republika Srpska and the Federation of Bosnia and Herzegovina, as well as Brčko District, have different work laws. Both entities have a minimum of 20 working days off, while the number of additional days varies. In Brčko District, workers have 18 days off. In Republika Srpska workers have additional 1 day for every 5 years of work with the same employer and an additional 2 days for religious holidays. In the Federation of Bosnia and Herzegovina workers have 2 paid days for religious holidays and, optionally, 2 unpaid days for religious holidays. The number of public holidays also varies: in Republika Srpska around 11, in the Federation of Bosnia and Herzegovina around 10 and in Brčko District around 9. The number of public holidays varies based on te predominant religious group in the entity. The Federation of Bosnia and Herzegovina consists of 10 cantons, any of which can have their own laws that can affect the number of public holidays.",20–30,9–11,29.0
22,Botswana,Every employer is required to grant to all employees leave with basic pay at the rate of not less than 1.25 days per month. Every employee is also entitled to 14 paid public holidays.[7],15,14,29.0
23,Brazil,"The length of annual leave depends on the number of days of absence from work: 30 calendar days (22 working days, based on a 5-day workweek) if the worker was absent no more than 5 days; 24 calendar days (18 working days) if the worker was absent between 6 and 14 days; 18 calendar days (14 working days) if the worker was absent between 15 and 23 days; 12 calendar days (10 working days) if the worker was absent between 24 and 32 days. Every employee is also entitled to 8 national paid public holidays, 1 state paid holiday, and up to 4 religious municipal paid holidays.[11][36]",10/14/18/22,13,22.0
24,Brunei Darussalam,[11],7,11,18.0
25,Bulgaria,"An employee has the right to paid annual leave of at least four weeks for each calendar year.[14][21] If a public holiday falls on Saturday or Sunday, the following Monday is a holiday.[37]",20,12,32.0
26,Burkina Faso,"The employee has a right to a paid leave chargeable to the employer, at 2.5 calendar days per month of effective service. Every employee is also entitled to 15 paid public holidays.[7][38]",30,15,45.0
27,Burundi,Workers are entitled to 1 and 2/3 working days per month of completed of service.[7] Every employee is also entitled to 13 paid public holidays.[39],17,13,30.0
28,Cape Verde,Every worker in an employment contract for an indeterminate period is entitled to twenty-two days of annual leave.[7] There are no legal provisions for pay on public holidays.[40],22,0,22.0
29,Cambodia,"All workers are entitled to paid annual leave at the rate of 1.5 work days per month of continuous service. However, the length of paid leave entitlement shall be increased according to seniority, at the rate of one day per 3 years of service.[5] Every employee is also entitled to 27 paid public holidays.[41]",18,27,45.0
30,Cameroon,"Workers acquire the right to annual leave at the rate of one and a half days per month of effective service, paid by the employer.[7]",18,,
31,Canada,"In Canada, vacation time is set by the provinces and territories for all employees except federal employees and employees of federally-regulated industries such as telecommunications. Employees are entitled to start out with two weeks of paid vacation in all provinces except Saskatchewan where employees are entitled to three weeks of paid annual leave.[42] Ten provinces and territories grant a third week of vacation after working for a set period of time, one grants a fourth week, and two grant no additional extension.[43] Federal employees are entitled initially to three weeks vacation, increasing to four weeks after eight years of service.[44] In addition, employees are entitled to 7–13 paid public holidays depending on the province.[45]",10–20,7–13,17.0
32,Central African Republic,Workers are entitled to leave at the rate of 2 working days per month worked.[7],24,,
33,Chad,Workers are entitled to two days per month of paid leave - to be paid by the employer. One month of effective work is the period equivalent to 4 weeks or 24 days of work. Every worker is also entitled to 3 paid public holidays.[7],24,3,27.0
34,Chile,The duration of the annual leave is 15 working days.[11] Every worker is also entitled to 15 paid public holidays.[46],15,15,30.0
35,China,"The duration of the annual leave entitlement is: (a) 5 days for employees who have accumulatively worked for 1 to 10 years; (b) 10 days for employees who have accumulatively worked for 10 to 20 years; and (c) 15 days for employees who have accumulatively worked for more than 20 years. Employers who offer more vacation time are legally obligated to grant it.[47] Every worker is also entitled to 11 paid public holidays, which includes two semi-annual one-week holidays known as the Golden Weeks.[5][48]",5/10/15,11,16.0
36,Colombia,Employees are entitled to 15 consecutive working days of paid annual leave. Every employee is also entitled to 18 paid public holidays.[11][49],15,18,33.0
37,Comoros,"Workers are entitled to annual leave at the rate of at least 2 and half days per month of work. In order to determine the duration of the leave, it shall be considered as a month of work, the period equivalent to 4 weeks or 24 days of work.[7]",25,,
38,Democratic Republic of Congo,"The duration of annual leave has to be at least one day for every month of effective service, for worker over the age of 18. It shall be of at least one and a half day for workers under the age of 18. It shall be increased of one day per month every 5 years of seniority in the same employer or replaced employer.[7]",12,,
39,Republic of Congo,"Workers are entitled, after one year of service, to 26 working days of annual leave paid by the employer.[7]",26,,
40,Costa Rica,Employees are entitled to 2 weeks minimum of annual leave after 50 weeks of work performed with the same employer. Every employee is also entitled to 9 paid public holidays.[11][50],10,9,19.0
41,Croatia,An employee has the right to paid annual leave in the duration of at least four weeks for each calendar year and 13 paid public holidays.[14][21][51],20,13,33.0
42,Cuba,Every worker is entitled to enjoy one month of paid annual leave after 11 months of effective work. Workers are also entitled to 9 paid public holidays.[11],22,9,33.0
43,Cyprus,20 working days of leave for workers on a five-day week and 24 working days of leave for workers on a six-day week over a period of one year's employment.[14][21] Every employee is also entitled to 14 paid public holidays.[52],20,14,34.0
44,Czech Republic,The basic vacation allowance is a minimum of four weeks per calendar year and there are 13 paid public holidays.[53][54][55] Many employers give one week extra (so the total is five weeks of paid annual leave) as a bonus. Public holidays which happen on Saturday or Sunday are lost for the particular year – thus the average number of public holidays during working days in the years 2000 to 2016 was only 8.9 days. Employees of employers who are not part of the private sector or engaged in non-commercial activities are entitled to a vacation allowance of 5 weeks. Teachers and the academic staff of higher education institutions are entitled to a vacation allowance of 8 weeks per calendar year.[14][21],20,13,33.0
45,Denmark,"Employees are entitled to 25 days of annual leave per year worked, prorated at 2.08 days per month.[21][56] In addition most employees have an extra week of holiday through the Additional Sixth Week agreement. Every employee is also entitled to 11 paid public holidays.[57]",25,11,36.0
46,Djibouti,Employees are entitled to two and half working days of paid leave per month. Every employee is also entitled to 10 paid public holidays.[7],25,10,35.0
47,Dominica,"Employees are entitled under five years of continuously service two weeks paid annual leave, and for five years and over of continuously service three weeks of paid annual leave. Every employee is also entitled to 12 paid public holidays.[11]",10,12,22.0
48,Dominican Republic,"The employer shall provide every employee a paid vacation period of two weeks, according to the following scale: After a period of at least 1 year and up to 5 years, 14 days with full pay; After a continuous period of work of not less than 5 years, 18 days with full pay. Every employee is also entitled to 13 paid public holidays.[11]",10,13,23.0
49,Ecuador,"Every worker shall be entitled to enjoy 15 consecutive days of paid annual leave, including the non working days.[11] Every employee is also entitled to 12 paid public holidays.[58][59]",11,12,23.0
50,Egypt,"Employees are entitled to 21 days of paid annual leave, though they must wait six months before taking their first day off. After five consecutive years of employment, an employee may take one month of paid leave to make a religious pilgrimage. An employee's paid leave entitlement increases to 30 days of paid annual leave after 10 years of employment or when the employee reaches the age of 50, whichever one comes first. Every employee is also entitled to 13 paid public holidays.[7][60][61]",21,13,34.0
51,El Salvador,The length of annual leave is 15 days. Every employee is also entitled to 11 paid public holidays.[11][62],15,11,26.0
52,Equatorial Guinea,"Workers are entitled to one month of paid annual leave, for each year of continuous work. After 10 years of service, annual leave shall be increased one day per year worked.[7]",30,,
53,Eritrea,An employee is entitled to annual leave with pay amounting to: fourteen working days for the first year of service; and fourteen working days plus one working each additional year of service. Annual leave may not exceed 35 working days.[7],12,,
54,Estonia,"Minimum annual holiday is 28 calendar days, unless the employee and the employer have agreed on a longer period, or unless otherwise provided by law.[63] Every employee is also entitled to 11 paid public holidays.[64]",28,11,39.0
55,Ethiopia,"Employees are entitled to no less than 14 working days of annual leave for the first one year of service, and 14 working days plus one working day for every additional year of service.[7] Every employee is also entitled to 13 paid public holidays.[65]",12,13,25.0
56,European Union,European Union legislation mandates that all 27 member states must by law grant all employees a minimum of 4 weeks of paid vacation.[66],20,0,20.0
57,Fiji,Workers are entitled to 10 days paid annual leave for each complete year of service. Every employee is also entitled to 12 paid public holidays.[5],10,12,22.0
58,Finland,"5 weeks (30 days with Saturdays sometimes, but not Sundays, counted as holidays) is the minimum mandated annual leave by law.[67] Workers are also entitled to 11 paid public holidays on average.[68] After working for the same company for a long period, many employers raise the 30 to 36 days (so-called long holidays). (Many employers in Finland give a holiday bonus (lomaraha) every year; this holiday bonus can be converted to extra holiday - giving another 13 days of holiday (or 18 days for those on 'long' holidays).[21][56]",25,11,36.0
59,France,"5 weeks (30 days with Saturdays, but not Sundays counted as holidays) plus up to 22 days of RTT (Réduction du Temps de Travail, English: Reduction of Working Time) for the employees that choose to work more than 35 hours per week - the ""limit"" is 39 per week, further additional hours are compensated in almost all the cases by money and not by additional leave hours. Bonus days off are given to people who take a part of their annual leave outside summer (3 days grant 1 bonus day off, 6 days grant 2 bonus days off). Combining all these rules, in a few public offices and in a few companies like Orange, the resulting total, for certain employees, might be of 9.5 paid vacation weeks (5 weeks of vacation + 4 weeks of RTT + 0.5 week of bonus days off). Furthermore, there are 11 paid public holidays.[21][56][69][70]",25–37,11,36.0
60,Gabon,"Workers are entitled to leave, to be paid by the employer, of 2 working days per month of effective service. The workers under the age of 18 are entitled to 2 and a half working days. Every worker is also entitled to 14 paid public holidays.[7]",20,14,34.0
61,Gambia,,21,,
62,Georgia,,24,15,39.0
63,Germany,"24 working days (defined as all calendar days that are not Sundays or public holidays). Therefore, a worker with a 5-day workweek has the right to 20 days off.[14] However, it is quite customary that companies concede other 10 days of paid leave, bringing the average to 30 days off.[71] There is one national public holiday (German Unity Day). States regulate the remaining paid public holidays which vary between 10[72] and 13 in total, some of them being held nationwide.[56][73] The Catholic parts of Bavaria (around 1700 communities in the Land of Bavaria, including the major cities of Munich and Augsburg, but not Nuremberg) provide the most rest days with 13 public holidays.[74] The Bavarian city of Augsburg is a special case as it has 14 public holidays as it celebrates Friedensfest (Peace Festival) in addition to the 13 holidays in Catholic Bavaria. Civil employees receive a minimum of 30 days after a law against age discrimination was passed in 2012.[75] In most states, most employees are additionally entitled to 5 days per year paid education leave (Bildungsurlaub).[76]",20,10,30.0
64,Ghana,In any undertaking every worker is entitled to not less than 15 working days leave with full pay in any calendar year of continuous service.[7] Every worker is also entitled to 13 paid public holidays.[77],15,13,28.0
65,Greece,"Workers on a five-day week are entitled to a 20 working days or 24 working days for six-day week workers. The leave entitlement is increased by one working day for each year of employment in addition to the first year, up to 26 working days, or up to 22 working days if the undertaking operates a five-day week.[14] There are 9 mandatory paid public holidays plus one town/city specific ""patron saint day"" which may or may not be a public holiday depending on the decision of the local administration.[78]",20,9,29.0
66,Grenada,"Workers are entitled to a period of annual leave with pay of not less than two weeks during the first year of employment and thereafter, three weeks. Every worker is also entitled to 13 paid public holidays.[11]",10,13,23.0
67,Guatemala,Employees are entitled to have at least 15 working days of vacations.[79] To have the right for vacations the worker must have at least 150 calendar days of continuous work.[80] It is forbidden for a worker to accept extra payment instead of the vacations nor take another job during this time.[81] Vacations must be paid in advance.[82] Every employee is also entitled to 10 paid public holidays.[83],15,10,25.0
68,Guinea,"The employee is entitled to leave, paid by the employer, at a rate of 2 and half days per month of effective service. Employees are also entitled to 11 paid public holidays.[7][84]",22,11,33.0
69,Guinea-Bissau,"The annual leave shall be of 30 consecutive days, not counting weekly rest periods nor initial or final holidays.[7]",22,,
70,Guyana,Every worker being in employment shall be allowed a period of holidays with pay of not less than one day for each completed month of employment computed from the date of engagement.[11] There are no legal provisions for pay on public holidays[85],12,0,12.0
71,Haiti,"Any employee continuously working upon one year of service is entitled to paid leave of at least 15 consecutive days, comprising 13 working days and two Sundays. Public holidays and interruptions of work due to sickness or maternity enjoyed by the worker should not be deducted from the fifteen days off. Employees are also entitled to 16 paid public holidays.[11]",11,16,27.0
72,Honduras,The period of annual leave differs in relation to the time of work performed with the same employer: 10 consecutive working days after one year of service; 12 consecutive working days after two years' consecutive service; 15 consecutive working days after three years' consecutive service; 20 consecutive working days after four or more years' consecutive service. Employees are also entitled to 11 paid public holidays.[11][86],8,11,19.0
73,Hong Kong,"7 days (1 to 2 years), add one day per year until 14 days (3+ years).[87] Employees are also entitled to 17 paid employee holidays.[88]",7–14,17,24.0
74,Hungary,"20 working days (increasing up to 30 with age). The employee will get additional days for children. Two days for one child, 4 days for two children and 7 days for more than two children.[14][89] Employees are also entitled to 13 paid public holidays, however public holidays which happen on Saturday or Sunday are lost for the particular year.[90] Unpaid leave can be requested by the Employee that can be granted upon after Employer deliberation. Employee has a right for Unpaid leave under the following circumstances: Caring for child under 3 years (usually during maternity leave), caring for children under 10 years if it is necessary and the Employee receives child caring aid, long term caring for a relative up to a maximum of 2 years (requires official medical verification), volunteer reservist military service.[91]",20,13,33.0
75,Iceland,The legislation provides for a minimum of two working days of holiday for each month in employment during the past holiday allowance year (1 May to 30 April). The minimum holiday for each year is therefore 24 working days. Employees are also entitled to 12 paid public holidays.[14][92],24,14,38.0
76,India,"People working in India are entitled to 18 vacation days a year along with an additional 7 days of casual leaves, totaling to 25 a year. The number of vacation leaves and casual leaves may differ as long as the total number remains at least 25. This does not apply to employees of government-owned companies, who are governed by a separate set of leave entitlements decided by the government.[93][94] Leave entitlements in India generally vary among states and industries, with local governments setting minimum leave entitlements and individual companies offering their own paid leave benefits. On average, Indians receive 27 days of paid leave a year. Employees are also entitled to 10 - 15 paid public holidays, depending on the region.[5][95][96][97][98][99][100]",25,10,35.0
77,Indonesia,"Employees are entitled to a minimum of 12 days paid leave. They are also entitled to 15 public holidays. Public workers are entitled to 9 days of joint holiday (cuti bersama), whereas private employers can choose to follow joint holidays. After six years employment, employees are entitled to a month's worth of leave in their seventh and eighth year. There are no legal provisions for pay on public holidays.[5][101][102]",12,15,27.0
78,Iran,"The annual paid leave entitlement is one month, including four Fridays.[5]",26,27,53.0
79,Iraq,A worker shall have a right to 20 days of leave for each year of work. A worker employed in work which is arduous or harmful to health shall have a right to 30 days of paid leave for each year of work. The length of a worker's annual leave shall be increased by 2 days after every additional 5 years of continuous service with the same employer.[28],20,,
80,Ireland,Employees are entitled to 4 weeks of paid annual leave and 10 paid public holidays.[56][103],20,10,30.0
81,Israel,"A minimum of 12 days for employees with a five-day workweek and 14 days for employees with a six-day workweek. Following four years of employment, the number of vacation days rises by two per year.[104] An employee can accumulate a maximum of 28 vacation days under the law.[105] There are also 9 paid public holidays, and 4 holidays where, despite not being mandatory, many businesses and government offices offer collective or optional paid leave.",12,9,21.0
82,Italy,"At least 20 working days (exact number depends on contract details, all national category-specific contracts guarantee 28 days), entirely paid, plus up to 104 hours of ROL, that means the reduction of working time (in Italian Riduzione Orario di Lavoro), that have to be used primarily in blocks of a few hours each time for family/personal needs (for example taking a child to the doctor, going to the bank etc.) but may be utilized as well, just for the unused part of them and just if the company/the collective contract allows that, to get additional vacation hours/days, or to shorten of 1 or 2 hours the working day on Fridays. Employees also receive 12 paid public holidays, plus one town/city specific ""patron saint day"".[56][106] Workers also have a right to 15 days of paid leave for their wedding.[107] Employees have the right to paid leave to deal with sick children up to 3 years, or unpaid leave for older ones. A special provision[108] allows people who are in charge of disabled children or relatives to have more days of paid leave.",20,12,32.0
83,Ivory Coast,"The worker is entitled to annual leave, paid by the employer, at the rate of 2 working days per month of effective service. Young workers under the age of 18 are entitled to two and 2/10 working days per month of effective service. The annual leave is increased at the rate of 2 days after 15 years of seniority in the same company; 4 days after 20 years of seniority in the same company; 6 days after 25 years of seniority in the same company; and 8 days after 30 years of seniority in the same company. Employees also receive 14 paid public holidays.[7]",20,14,34.0
84,Jamaica,Workers who have worked up to 220 days enjoy 10 days maximum (if they have worked for a minimum of 110 days) calculated as follows; 1/22 of the number of days of work. Any fraction of a day of holiday shall be reckoned as 1 day. For workers who have worked more than 220 days: 2 working weeks. For workers with 10 years of service or more and who have worked more than 220 days in each qualifying year: 3 working weeks.[11],10,,
85,Japan,"The initial annual leave entitlement is 10 days of leave. Workers who have been employed continuously for at least one and half years shall be granted one additional day of leave for each year of service, up to a maximum of 20 days of leave.[5][109] There are no legal provisions for pay on public holidays.[56][110] However Japan does have 16 national public holidays established by the Public Holiday Law.",10–20,0[111],10.0
86,Jersey,Employees are entitled to two weeks of paid annual leave.[112] Employees are also entitled to 9 paid public holidays.[113],10,9,19.0
87,Jordan,"Each employee shall be entitled to an annual leave with full pay for fourteen 14 days per each year of service, increased to 21 days after five years of service.[28]",14,10–14,24.0
88,Kazakhstan,Employees are entitled to 24 calendar days of paid annual leave.[14][114],24,16,40.0
89,Kenya,"An employee is entitled to not less than 21 working days after every 12 consecutive months of service with his employer. Where employment is terminated after then completion of two or more consecutive months of service during any 12 months of leave-earning period, to not less than 1.75 days of leave for each completed month of service. Employees are also entitled to 10 paid public holidays.[7]",21,10,28.0
90,Kiribati,,0,,
91,Kosovo,"Labor Law mandates at least 20 days of paid annual leave during a calendar year.[115] In addition, employees get one additional day of paid annual leave for every 5 years of service,[115] whereas civil servants get one day of annual leave for every 2 years of service.[116] Employees are entitled to 12 paid days of public holidays. If public holidays fall on Saturday or Sunday, the following working day is a non-working day.[117]",20,12,32.0
92,Kuwait,"Every worker is entitled to enjoy a paid annual leave of 30 days. In addition, the worker who completes 2 continuous years in the service of his employer shall be entitled to a paid leave of 21 days for performing Haj rituals, provided that he should not have previously performed the Haj. Workers are also entitled to 13 paid public holidays.[28][118]",30,13,43.0
93,Kyrgyzstan,,20,,
94,Laos,The general annual leave entitlement is 15 days of leave per year.[5],15,,
95,Latvia,Employees are entitled to 4 calendar weeks of paid annual leave.[14],20,12,32.0
96,Lebanon,Every wage-earner or salary-earner employed in an establishment for at least one year is entitled to an annual leave of 15 days with full pay. Workers are also entitled to 22 days of public holidays [28],15,22,37.0
97,Lesotho,"An employee shall be entitled to one working day of holiday in respect of each month of continuous employment with the same employer, i.e. a minimum of 12 working days of holiday in each year. Employees are also entitled to 10 paid public holidays.[7]",12,10,22.0
98,Liberia,"Employees are entitled to: (a) For continuous service with the same employer for twenty-four months, the number of working days in two weeks, and thereafter for each additional twelve months, with the same employer, the number of working days in three weeks; and (b) For continuous service with the same employer for sixty months and thereafter, the number of working days in four weeks. Employees are also entitled to 11 paid public holidays.[119][120]",10[121],11,21.0
99,Libya,Every worker is entitled annually to 30 days leave. Workers who have reached the age of 50 or have completed 20 years of service are entitled 45 days.[7],22,,
100,Lithuania,Employees are entitled to 20 working days of paid annual leave.[14][122] Employees are also entitled to 14 paid public holidays.[123],20,14,34.0
101,Luxembourg,"The legal duration of annual leave is 26 working days per year for private sector employees. Public sector employees are entitled to 32 days per year, increasing to 34 from age 50 and 36 from age 55. Employees (both public and private sector) with specific disabilities are entitled to a further 6 days' annual leave.[14] All workers are also entitled to 11 paid public holidays.[124] Extraordinary paid leave – which is not deducted from the annual leave allowance if taken – is granted in certain personal circumstances. In some cases, the number of days granted depends on whether an employee works in the public or private sector. Leave taken in the event of a death also applies if it is a relative of the employee's spouse or civil partner who has died: e.g. the death of an employee's mother-in-law entitles the employee to 3 days' leave.[125][126] Type of extraordinary leave Civil servants Private-sector employees Marriage 6 days 3 days Civil partnership 6 days 1 day Death of spouse/civil partner/parent/adult child 3 days 3 days Death of child under 18 5 days 5 days Death of grandparent or grandchild 1 day 1 day Death of sibling living in same household 3 days - Marriage of child 2 days 1 day Moving house (once per 3-year period) 2 days 2 days Adoption of child under 16 2 days 10 days Birth of child (for father only) 10 days 10 days Enlisting for military service 1 day -",Private sector: 26 Public sector: 32 Age 50–54: 34 Age 55+: 36,11,37.0
102,Type of extraordinary leave,Civil servants,Private-sector employees,,
103,Marriage,6 days,3 days,,
104,Civil partnership,6 days,1 day,,
105,Death of spouse/civil partner/parent/adult child,3 days,3 days,,
106,Death of child under 18,5 days,5 days,,
107,Death of grandparent or grandchild,1 day,1 day,,
108,Death of sibling living in same household,3 days,-,,
109,Marriage of child,2 days,1 day,,
110,Moving house (once per 3-year period),2 days,2 days,,
111,Adoption of child under 16,2 days,10 days,,
112,Birth of child (for father only),10 days,10 days,,
113,Enlisting for military service,1 day,-,,
114,Madagascar,Workers are entitled to leave paid by the employer at 2.5 days per month and also to 13 paid public holidays.[7],22,13,35.0
115,Malawi,,18,,
116,Malaysia,"Starts at 8 days per year for first 2 years employment with an employer. Increases to 12 days per year for between 2 and 5 years employment and 16 days per year for 5 or more years. Employees are also entitled to 11 paid public holidays in Peninsular Malaysia and Labuan, 14 days in Sabah and 16 days in Sarawak.[5] In addition to the federal public holidays, each state and federal territory has designated four to six state public holidays, bringing the total number of (federal and state) public holidays to 19 days in Labuan, Penang, Sabah and Sarawak and 18 days in the rest of the country.",8,11,19.0
117,Maldives,,22,,
118,Mali,,22,,
119,Malta,Every worker is entitled to paid annual leave of at least the equivalent in hours of five weeks and one working day calculated on the basis of a 40-hour working week and 8-hour working day. Workers are also entitled to 14 paid public holidays.[14],27,14,41.0
120,Marshall Islands,,0,,
121,Mauritania,"After the reference period of 12 months, a worker is entitled to 1.5 days of leave per month of effective service. An exception is 3 days per month for employees whose normal residence is not in Mauritania. One additional day annual leave is granted for 10 to 15 years of seniority, two additional days for 15 to 20 years seniority and 3 days for a seniority exceeding 20 years. Employees are also entitled to 7 paid public holidays.[7]",15,7,22.0
122,Mauritius,"Every worker, other than a part-time worker, who remains in continuous employment with the same employer for a period of 12 consecutive months is entitled, during each subsequent period of 12 months while he remains in continuous employment, to 20 working days of annual leave or such similar leave under any other name. Besides that every worker is entitled to an extra 2 days of leave in every year and 16 paid public holidays.[7]",22,16,38.0
123,Mexico,"Employers are legally obligated to grant employees 12 working days as minimum, after one year of service with the same employer. This duration shall be increased by two working days (up to a maximum of 20) for each subsequent year of service. After the sixth year, the vacation period shall be increased by two days for every five years of service. Workers who perform discontinuous and seasonal work are entitled to an annual holiday period in proportion to the number of the working days performed in the year. Employees are also entitled to 7 paid public holidays.[127]",12,7,19.0
124,Micronesia,,0,,
125,Moldova,"All employees have the right to an annual paid holiday, with duration of not less than 28 calendar days without taking into account the non working holidays. Employees of special sectors (education, health service, public service, etc.) can be granted annual leave of a different duration.[14] There are no legal provisions for pay on public holidays.[128]",20,0,20.0
126,Mongolia,"15 working days for the 1 year of employment. Increase up to 29 working days after 32 years of employment. 48 working days paid vacation for teachers and professors for all levels of school, kindergarten and university regardless of the number of years of service. There are no identified legal provisions for pay on public holidays.[5][129]",15,0,15.0
127,Montenegro,,21,,
128,Morocco,"Every employee, having worked at least 6 months continuously in the same company, is entitled to paid annual leave as it follows: 1 and 1/2 day of effective work for every month of service; and 2 days of effective work for every month of service for those aged under 18. The paid annual leave is increased in one and a half day of effective work for an entire period, continue or not, of 5 years of service. However, this increase cannot be accumulated when the total annual leave has reached the limit of 30 working days. An ""effective day of work"" day is that which is not a weekly rest day, a holiday and general holidays of the company. The working month is defined as: 26 effective working days or 191 working hours in the non agricultural sector or 208 in the agricultural sector. Employees are also entitled to 13 paid public holidays.[7]",15,13,25.0
129,Mozambique,"Employees are entitled to one day for every month of actual service, during the first year of service; two days for every month of actual service, during the second year of service; and thirty days for every year of actual service, from the third year onward.[7] Employees are also entitled to 9 paid public holidays.[130]",10,9,19.0
130,Myanmar,Employees over the age of 15 years are entitled to 10 consecutive days of leave per year. Employees under the age of 15 years are entitled to 14 consecutive days leave per year. Employees are also entitled to 14 paid public holidays.[5],10,14,24.0
131,Namibia,Every employee is entitled to at least four consecutive weeks annual leave in respect of each annual leave cycle (which means the period of 12 consecutive months employment with the same employer immediately following an employee's commencement of employment or the completion of the last annual leave cycle). If the number of days in an ordinary workweek are 6 the annual leave entitlement in working days is 24.[7],20,,
132,Nauru,No paid annual leave.[131],0,,
